X,Y,Z,HoleID,Fe
1157.204792,5238.858569,935.091995,FD00001,63.1536
1153.375228,5239.144571,925.858842,FD00001,64.978
1141.631432,5239.858017,898.262496,FD00001,60.9201
1137.771920,5240.045212,889.039206,FD00001,67.2948
1133.873639,5240.247486,879.832561,FD00001,66.4427
1215.412875,5522.556045,1101.294369,FD00002,49.6433
1213.114596,5523.192908,1091.582979,FD00002,53.67
1210.726267,5523.849742,1081.894627,FD00002,53.67
1208.312281,5524.512722,1072.213047,FD00002,51.5538
1185.735526,5528.728555,995.630668,FD00002,64.8433
1182.344658,5529.047955,986.228559,FD00002,68.7323
1178.878095,5529.298752,976.852093,FD00002,64.0012
789.470000,4868.400000,884.880000,FD00004,60.86
789.470000,4868.400000,874.880000,FD00004,60.7702
789.470000,4868.400000,869.480000,FD00004,60.79
689.665514,4451.725689,1064.158002,FD00005,63.14
687.837678,4451.629008,1054.327088,FD00005,64.838
686.083245,4451.484269,1044.483297,FD00005,57.0097
367.594288,4695.017605,1098.319027,FD00006,60.5955
364.108589,4695.078448,1058.471239,FD00006,62.8104
363.237164,4695.093659,1048.509292,FD00006,63.03
362.365740,4695.108870,1038.547345,FD00006,63.03
361.494315,4695.124081,1028.585398,FD00006,63.03
360.622890,4695.139292,1018.623451,FD00006,63.03
360.008536,4695.150015,1011.600278,FD00006,63.03
399.931399,4812.199371,1102.938066,FD00007,58.1452
398.902327,4812.136291,1092.991413,FD00007,60.94
393.837516,4810.809945,1043.268544,FD00007,56.47
392.932562,4810.468852,1033.315502,FD00007,56.47
392.100073,4810.180214,1023.354404,FD00007,61.1163
391.259561,4809.890803,1013.393993,FD00007,61.72
390.830900,4809.743203,1008.314184,FD00007,61.72
658.466056,4753.919670,1053.919679,FD00008,58.5264
684.500952,4434.246550,1059.969629,FD00010,62.8513
682.925701,4434.574468,1050.099973,FD00010,63.1484
681.354237,4434.858104,1040.228311,FD00010,62.5116
1034.161158,5071.877717,1074.623973,FD00012,60.058
1033.158622,5071.855371,1064.674388,FD00012,56.99
1022.022406,5065.094142,965.598206,FD00012,63.0676
1021.398525,5064.479126,960.624774,FD00012,63.91
1013.664487,5271.924792,1077.349027,FD00013,63.0767
1011.051407,5271.833541,1047.463186,FD00013,60.8791
1010.180381,5271.803124,1037.501239,FD00013,64.7214
1009.322420,5271.773163,1027.688721,FD00013,56.509
485.816497,4536.015215,963.278802,FD00014,77.8692
485.572162,4535.433965,957.060687,FD00014,80.91
775.705659,4447.080354,915.565682,FD00015,44.0846
775.337015,4445.363487,905.721094,FD00015,56.7621
774.999013,4443.808054,896.812172,FD00015,62.19
405.734954,4659.750118,1061.657023,FD00016,62.9941
403.265412,4660.030534,1051.970898,FD00016,54.4944
400.714127,4660.225768,1042.303921,FD00016,43.8805
398.091465,4660.286591,1032.654242,FD00016,36.5363
389.926476,4659.770309,1003.793417,FD00016,61.78
387.168732,4659.422682,994.187514,FD00016,61.1794
384.382281,4659.059708,984.590515,FD00016,62.1384
381.623120,4658.705304,974.985298,FD00016,65.04
378.841032,4658.334555,965.387278,FD00016,65.04
376.067461,4657.999405,955.785475,FD00016,65.04
374.646948,4657.830271,950.890218,FD00016,65.04
642.852968,4548.944557,1059.509008,FD00017,65.1092
640.334108,4549.659615,1049.857941,FD00017,63.74
514.432890,5612.720708,1156.743451,FD00019,66.751
535.875525,4641.110948,1076.610068,FD00020,59.0121
592.816805,3075.814976,1009.387494,FD00021,60.03
806.573447,5663.851182,1192.751533,FD00022,60.9724
803.405502,5663.088939,1162.929904,FD00022,52.2125
961.942942,5827.844623,1126.655607,FD00023,47.5222
960.976688,5828.021383,1116.704066,FD00023,38.786
960.018889,5827.985714,1106.750398,FD00023,39.0678
959.032088,5827.640908,1096.805583,FD00023,43.3208
711.583427,3257.603307,988.546743,FD00026,55.705
784.888879,4556.231472,1039.048080,FD00027,53.1905
781.581182,4557.381216,1029.681391,FD00027,46.86
778.160664,4558.540742,1020.356409,FD00027,45.7123
774.679872,4559.627035,1011.045031,FD00027,44.4931
771.141263,4560.590225,1001.741856,FD00027,44.7
740.547862,4560.381012,938.988905,FD00027,59.2338
737.742892,4560.038096,934.096354,FD00027,64.14
406.763784,4730.707549,1087.790662,FD00028,64.7445
406.811519,4730.851178,1077.791813,FD00028,64.1818
406.883843,4730.984279,1067.792965,FD00028,62.3248
407.513096,4731.681615,1007.800612,FD00028,60.71
407.645827,4731.775237,997.801976,FD00028,64.263
407.721669,4731.908297,987.803235,FD00028,64.89
407.772468,4732.066282,977.804616,FD00028,64.89
407.830182,4732.196778,967.805655,FD00028,64.89
407.831901,4732.382640,957.807394,FD00028,61.3696
407.840807,4732.515458,947.808285,FD00028,58.12
407.835405,4732.652121,937.809226,FD00028,58.12
407.825661,4732.736985,931.534808,FD00028,58.12
646.672858,4707.794460,1050.000100,FD00029,52.5872
646.649667,4707.745542,1040.000328,FD00029,43.1316
645.514098,4705.190170,970.071265,FD00029,46.37
645.212437,4704.468028,960.101937,FD00029,48.9939
645.031702,4704.034481,954.120351,FD00029,49.8
504.942429,4811.240131,1039.931983,FD00030,47.792
506.541569,4811.628919,969.963291,FD00030,60.762
421.307869,4885.677069,1096.692753,FD00031,64.8894
418.840763,4886.294401,1087.021558,FD00031,64.5236
416.406211,4886.883183,1077.340388,FD00031,65.2925
411.536194,4888.034799,1057.976653,FD00031,56.885
409.044202,4888.545649,1048.305641,FD00031,52.5765
516.923969,5098.859318,1002.403991,FD00033,48.498
1055.099386,5205.338686,1058.699032,FD00034,52.8064
1050.156728,5206.533135,1039.356575,FD00034,47.6194
1045.612433,5203.454061,1010.381382,FD00034,45.207
1046.710533,5204.569408,1000.664834,FD00034,59.2823
1043.796556,5204.839452,991.102714,FD00034,65.8355
1040.992103,5205.101876,981.507632,FD00034,66.9667
1044.079649,5255.239009,925.389130,FD00035,57.2184
973.696470,5404.538738,1096.163574,FD00036,58.9318
